#{"args": {"env": "full_car", "seed": null, "alg": "sac", "num_timesteps": 20000000000.0, "network": "mlp_big", "num_env": null, "play": false, "prefix": "", "model_path": null, "lstm_on": true, "network_size": 64, "layer_size": 2, "window_size": 4, "pallet_counts": 200}}
0.64,1652752241.1502943
0.64,1652752241.1553829
0.64,1652752241.156047
0.64,1652752241.1568387
0.64,1652752241.1581295
0.64,1652752241.1587546
0.64,1652752241.159817
0.64,1652752241.1603482
0.64,1652752241.160904
0.64,1652752241.1614478
0.64,1652752241.1624258
0.64,1652752241.1628761
0.64,1652752241.1638408
0.64,1652752241.1648407
0.64,1652752241.165386
0.64,1652752241.1660733
0.64,1652752241.1684272
0.64,1652752241.1688528
0.64,1652752241.1710467
0.64,1652752241.171477
0.64,1652752241.17189
0.64,1652752241.1723022
0.64,1652752241.1727731
0.64,1652752241.1732543
0.64,1652752241.173716
